"","X.1","X","ï..Date","Open","High","Low","Close","Volume","V7"
"77",77,77,"9-Jun-15",255.4,257.74,254.14,0.00113217135207458,0.00113217135207458,0.00113217135207458
"78",78,78,"8-Jun-15",250.85,258.75,250.31,-0.0282946283736905,-0.0282946283736905,-0.0282946283736905
"79",79,79,"5-Jun-15",246,249.7,245.68,-0.0130087076676608,-0.0130087076676608,-0.0130087076676608
"80",80,80,"4-Jun-15",247.5,249.3,245.71,0.0124064552253916,0.0124064552253916,0.0124064552253916
"81",81,81,"3-Jun-15",248.2,250.72,247.01,-0.00257369346231771,-0.00257369346231771,-0.00257369346231771
"82",82,82,"2-Jun-15",248.92,249.4,246.3,0.00441945275368684,0.00441945275368684,0.00441945275368684
"83",83,83,"1-Jun-15",251.41,251.6,247.47,0.00539731445171925,0.00539731445171925,0.00539731445171925
"84",84,84,"29-May-15",251,252.87,249.43,0.00258835385920799,0.00258835385920799,0.00258835385920799
"85",85,85,"28-May-15",247.03,251.8,245.05,-0.0161164488955186,-0.0161164488955186,-0.0161164488955186
"86",86,86,"27-May-15",248.51,249.5,245.55,0.000121239063374785,0.000121239063374785,0.000121239063374785
"87",87,87,"26-May-15",247.68,252,246.5,0.00109049062685546,0.00109049062685546,0.00109049062685546
"88",88,88,"22-May-15",245.38,248.6,245.01,-0.00855381723044721,-0.00855381723044721,-0.00855381723044721
"89",89,89,"21-May-15",243.03,246.62,242.36,-0.00518400246607425,-0.00518400246607425,-0.00518400246607425
"90",90,90,"20-May-15",247.13,247.74,241.37,0.0113533539598805,0.0113533539598805,0.0113533539598805
"91",91,91,"19-May-15",248.43,251,246.15,0.00649339836265781,0.00649339836265781,0.00649339836265781
"92",92,92,"18-May-15",247,249.9,246,0.000361743608116948,0.000361743608116948,0.000361743608116948
"93",93,93,"15-May-15",243.93,249.4,242.5,-0.0192321422479047,-0.0192321422479047,-0.0192321422479047
"94",94,94,"14-May-15",244.82,244.89,241.25,-0.00377606753064216,-0.00377606753064216,-0.00377606753064216
"95",95,95,"13-May-15",247.61,248.3,242.25,0.00639451268924995,0.00639451268924995,0.00639451268924995
"96",96,96,"12-May-15",240.11,246.35,238.19,-0.0216847602317048,-0.0216847602317048,-0.0216847602317048
"97",97,97,"11-May-15",236.29,242.88,235.31,-0.012098446247808,-0.012098446247808,-0.012098446247808
"98",98,98,"8-May-15",235.99,238.41,233.7,0.000802686931841284,0.000802686931841284,0.000802686931841284
"99",99,99,"7-May-15",221,237.48,220.25,-0.0272687743311504,-0.0272687743311504,-0.0272687743311504
"100",100,100,"6-May-15",234.1,234.47,228.2,0.0108767095841055,0.0108767095841055,0.0108767095841055
"101",101,101,"5-May-15",237.76,239.5,229.13,-0.0105295928192196,-0.0105295928192196,-0.0105295928192196
"102",102,102,"4-May-15",228.18,234.73,227.11,-0.019626511618089,-0.019626511618089,-0.019626511618089
"103",103,103,"1-May-15",229.94,231.77,220.4,8.84799151171267e-05,8.84799151171267e-05,8.84799151171267e-05
"104",104,104,"30-Apr-15",230.39,232.89,225.17,0.0279189343959794,0.0279189343959794,0.0279189343959794
"105",105,105,"29-Apr-15",230.05,234.97,227.63,-0.00851105736032073,-0.00851105736032073,-0.00851105736032073
"106",106,106,"28-Apr-15",234.75,235.5,228.03,0.0046317421504881,0.0046317421504881,0.0046317421504881
"107",107,107,"27-Apr-15",222.56,238.75,222,-0.0583760181571788,-0.0583760181571788,-0.0583760181571788
"108",108,108,"24-Apr-15",220.5,220.8,218.01,0.00082376097285581,0.00082376097285581,0.00082376097285581
"109",109,109,"23-Apr-15",218.27,221.48,217.15,0.00383527088690967,0.00383527088690967,0.00383527088690967
"110",110,110,"22-Apr-15",212.5,221.88,211.69,-0.0467847938412869,-0.0467847938412869,-0.0467847938412869
"111",111,111,"21-Apr-15",205.8,210.75,204.31,-0.0199678670589733,-0.0199678670589733,-0.0199678670589733
"112",112,112,"20-Apr-15",206.78,207.85,203.85,0.00737759983658269,0.00737759983658269,0.00737759983658269
"113",113,113,"17-Apr-15",204.99,206.88,203.5,-0.000435318877947529,-0.000435318877947529,-0.000435318877947529
"114",114,114,"16-Apr-15",207.7,209.17,206.29,0.00545197114325931,0.00545197114325931,0.00545197114325931
"115",115,115,"15-Apr-15",207.46,209.59,206.6,-0.0017818878272998,-0.0017818878272998,-0.0017818878272998
"116",116,116,"14-Apr-15",208.57,209.49,205.5,0.0111208125297759,0.0111208125297759,0.0111208125297759
"117",117,117,"13-Apr-15",210.44,213,209.05,0.00532472495127115,0.00532472495127115,0.00532472495127115
"118",118,118,"10-Apr-15",209.85,211.65,209,-0.00384807714919293,-0.00384807714919293,-0.00384807714919293
"119",119,119,"9-Apr-15",208.43,210.37,206.12,-0.0115857289806485,-0.0115857289806485,-0.0115857289806485
"120",120,120,"8-Apr-15",208.2,210.9,205.87,-0.0215135329269676,-0.0215135329269676,-0.0215135329269676
"121",121,121,"7-Apr-15",202.51,205.06,201.14,-0.000738279841580962,-0.000738279841580962,-0.000738279841580962
"122",122,122,"6-Apr-15",198,207.75,197.5,-0.0614250405397092,-0.0614250405397092,-0.0614250405397092
"123",123,123,"2-Apr-15",190.23,193.23,190,-0.0180146977993136,-0.0180146977993136,-0.0180146977993136
"124",124,124,"1-Apr-15",188.7,192.3,186.05,0.0062706125333263,0.0062706125333263,0.0062706125333263
"125",125,125,"31-Mar-15",193.53,193.76,188.41,0.00949023835964217,0.00949023835964217,0.00949023835964217
"126",126,126,"30-Mar-15",185.85,192.25,181.8,-0.0296637560619597,-0.0296637560619597,-0.0296637560619597
"127",127,127,"27-Mar-15",189.07,189.29,181.4,0.02877129727894,0.02877129727894,0.02877129727894
"128",128,128,"26-Mar-15",193.92,194.79,189.7,0.0202762340261294,0.0202762340261294,0.0202762340261294
"129",129,129,"25-Mar-15",198.27,198.59,192.7,0.03747724082513,0.03747724082513,0.03747724082513
"130",130,130,"24-Mar-15",201.58,203.79,199.75,-0.0104149440239623,-0.0104149440239623,-0.0104149440239623
"131",131,131,"23-Mar-15",198.5,200.5,197.47,-0.00779466368833095,-0.00779466368833095,-0.00779466368833095
"132",132,132,"20-Mar-15",197.45,198.99,195.62,-0.0123436408398098,-0.0123436408398098,-0.0123436408398098
"133",133,133,"19-Mar-15",202,204.59,194.53,0.0255337315149801,0.0255337315149801,0.0255337315149801
"134",134,134,"18-Mar-15",194.96,200.88,193.11,-0.0302470964579149,-0.0302470964579149,-0.0302470964579149
"135",135,135,"17-Mar-15",195.43,198.71,193.94,0.00496889068854364,0.00496889068854364,0.00496889068854364
"136",136,136,"16-Mar-15",192,195.91,189.8,-0.0365304159859696,-0.0365304159859696,-0.0365304159859696
"137",137,137,"13-Mar-15",188.95,191.75,187.32,0.0125873946353232,0.0125873946353232,0.0125873946353232
"138",138,138,"12-Mar-15",193.75,194.45,189.75,0.0138772009468547,0.0138772009468547,0.0138772009468547
"139",139,139,"11-Mar-15",191.15,196.18,191.01,-0.0178101880035367,-0.0178101880035367,-0.0178101880035367
"140",140,140,"10-Mar-15",188.46,193.5,187.6,0.00293809235490368,0.00293809235490368,0.00293809235490368
"141",141,141,"9-Mar-15",194.39,194.49,188.25,0.0155944526275693,0.0155944526275693,0.0155944526275693
"142",142,142,"6-Mar-15",199.21,200.75,192.15,0.0342230047149343,0.0342230047149343,0.0342230047149343
"143",143,143,"5-Mar-15",202.85,206.19,200.15,0.00898113065376763,0.00898113065376763,0.00898113065376763
"144",144,144,"4-Mar-15",199.25,202.52,197.21,-0.0143286033530406,-0.0143286033530406,-0.0143286033530406
"145",145,145,"3-Mar-15",196.81,200.24,195.32,-0.0112881666272992,-0.0112881666272992,-0.0112881666272992
"146",146,146,"2-Mar-15",202.7,203.34,195.82,0.0300526784814775,0.0300526784814775,0.0300526784814775
"147",147,147,"27-Feb-15",206.9,208.55,202.8,0.0187567918253761,0.0187567918253761,0.0187567918253761
"148",148,148,"26-Feb-15",204,211.09,202.22,-0.0166934160011897,-0.0166934160011897,-0.0166934160011897
"149",149,149,"25-Feb-15",204.94,207.14,202.58,0.00171623353474983,0.00171623353474983,0.00171623353474983
"150",150,150,"24-Feb-15",207.29,207.29,201.7,0.0157008936890148,0.0157008936890148,0.0157008936890148
"151",151,151,"23-Feb-15",215.66,218.2,206.33,0.04604417965118,0.04604417965118,0.04604417965118
"152",152,152,"20-Feb-15",210.78,217.6,209.81,-0.0252339594053266,-0.0252339594053266,-0.0252339594053266
"153",153,153,"19-Feb-15",205,212.44,203.75,-0.0347978208119514,-0.0347978208119514,-0.0347978208119514
"154",154,154,"18-Feb-15",204.17,206.17,202.6,-0.000538147318581781,-0.000538147318581781,-0.000538147318581781
"155",155,155,"17-Feb-15",205.7,205.7,201.5,-0.00284230319744105,-0.00284230319744105,-0.00284230319744105
"156",156,156,"13-Feb-15",202.9,205.99,200.91,-0.00437723556398416,-0.00437723556398416,-0.00437723556398416
"157",157,157,"12-Feb-15",193.57,203.09,193.28,0.0477380862186284,0.0477380862186284,0.0477380862186284
"158",158,158,"11-Feb-15",212.21,214.74,207.28,0.0162673423377208,0.0162673423377208,0.0162673423377208
"159",159,159,"10-Feb-15",217.55,220.5,215,0.00548679247250959,0.00548679247250959,0.00548679247250959
"160",160,160,"9-Feb-15",215.38,217.93,211.99,-0.000551927159627525,-0.000551927159627525,-0.000551927159627525
"161",161,161,"6-Feb-15",222,223.4,216.5,0.0165624865071212,0.0165624865071212,0.0165624865071212
"162",162,162,"5-Feb-15",219.88,225.48,219.64,-0.01110263031589,-0.01110263031589,-0.01110263031589
