Date,Open,High,Low,Close,Volume
25-Feb-15,94.91,99.31,94.86,98.66,16751573
24-Feb-15,94.08,95.33,93.69,94.98,5643590
23-Feb-15,94.12,94.41,93.95,94.31,5681950
20-Feb-15,94.16,94.49,93.56,94.19,8154994
19-Feb-15,94.50,94.55,93.74,94.19,6312190
18-Feb-15,94.23,94.79,94.00,94.58,5617510
17-Feb-15,95.12,95.39,94.09,94.35,5971992
13-Feb-15,95.40,95.85,94.93,95.65,6762195
12-Feb-15,94.05,95.60,93.77,95.09,7910116
11-Feb-15,94.16,94.33,93.30,94.21,5153937
10-Feb-15,93.33,94.23,92.97,94.02,4697610
9-Feb-15,93.30,93.45,92.54,92.72,8203013
6-Feb-15,94.15,94.48,93.65,93.99,4662736
5-Feb-15,94.10,94.83,94.00,94.34,5564108
4-Feb-15,93.50,94.43,93.50,94.05,6464783
3-Feb-15,92.64,93.98,92.45,93.92,7373047
2-Feb-15,92.05,92.66,91.43,92.51,6751432
30-Jan-15,92.65,93.30,92.31,92.44,12385371
29-Jan-15,91.50,93.50,91.26,93.27,19146887
28-Jan-15,89.74,89.82,88.77,88.78,6921322
27-Jan-15,89.96,90.31,89.56,89.57,6640833
26-Jan-15,89.39,90.70,89.29,90.67,7753275
23-Jan-15,90.92,91.64,89.43,89.56,11495980
22-Jan-15,90.62,90.97,89.84,90.89,7536416
21-Jan-15,90.16,90.46,89.54,90.34,8682226
20-Jan-15,91.64,91.88,90.23,90.80,6967278
16-Jan-15,91.05,91.69,90.74,91.49,6926995
15-Jan-15,91.97,92.35,90.96,91.38,5737468
14-Jan-15,91.45,92.05,91.12,91.54,7745521
13-Jan-15,93.95,94.44,92.42,92.83,5971237
12-Jan-15,93.53,93.81,92.60,93.01,3989585
9-Jan-15,93.97,93.97,92.78,93.21,4283293
8-Jan-15,94.23,94.98,94.05,94.36,5476740
7-Jan-15,93.26,94.05,92.86,94.01,6400320
6-Jan-15,92.67,93.81,91.88,92.40,6484094
5-Jan-15,93.30,93.68,92.22,92.23,6211872
2-Jan-15,94.13,95.00,93.05,93.26,6019693
31-Dec-14,93.75,94.80,93.57,93.70,4589312
30-Dec-14,94.85,95.00,94.07,94.25,3257735
29-Dec-14,94.32,95.46,94.26,95.04,4183224
26-Dec-14,94.10,94.93,93.95,94.78,3884255
24-Dec-14,94.22,94.54,93.74,93.83,1736839
23-Dec-14,94.36,94.82,94.01,94.22,3596392
22-Dec-14,93.28,94.02,93.03,93.89,5342248
19-Dec-14,93.51,94.32,92.95,93.22,10284328
18-Dec-14,92.28,93.74,91.65,93.67,11277129
17-Dec-14,88.93,92.05,88.50,91.65,14009957
16-Dec-14,88.07,90.75,87.62,88.72,15106676
15-Dec-14,90.96,91.10,88.25,88.46,10121636
12-Dec-14,90.66,91.39,90.43,90.62,8696756
11-Dec-14,90.09,91.15,90.02,90.97,8972720
10-Dec-14,91.04,91.29,89.51,90.00,12020817
9-Dec-14,91.30,92.00,91.01,91.36,10066782
8-Dec-14,93.41,97.50,92.23,92.61,11792656
5-Dec-14,95.78,96.61,95.65,96.31,6209305
4-Dec-14,95.39,95.99,95.14,95.66,5365429
3-Dec-14,94.80,95.56,94.78,95.50,5324034
2-Dec-14,95.21,97.00,94.76,95.11,10389676
1-Dec-14,96.15,96.94,95.64,95.78,5273749
28-Nov-14,95.98,97.40,95.97,96.81,3442853
26-Nov-14,96.36,96.39,95.92,96.22,3667981
25-Nov-14,97.20,97.34,96.85,97.00,5368952
24-Nov-14,96.83,97.42,96.53,97.17,5222895
21-Nov-14,97.47,97.50,96.42,96.68,5483712
20-Nov-14,96.54,97.30,96.50,96.64,4551916
19-Nov-14,96.74,97.30,96.43,96.56,6631311
18-Nov-14,96.04,96.95,95.37,96.41,6268097
17-Nov-14,96.06,96.08,95.60,95.97,3596519
14-Nov-14,95.38,97.18,95.27,96.21,7793438
13-Nov-14,95.50,96.22,95.18,95.48,4099804
12-Nov-14,94.93,95.38,94.83,95.33,2725702
11-Nov-14,95.22,95.42,94.93,95.14,3429027
10-Nov-14,95.56,95.69,94.98,95.11,5123874
7-Nov-14,94.40,95.10,94.06,95.10,4674632
6-Nov-14,94.74,94.93,94.42,94.66,3597279
5-Nov-14,95.00,95.07,94.39,94.64,4123841
4-Nov-14,93.93,94.63,93.77,94.47,5802179
3-Nov-14,93.78,93.78,93.02,93.61,4069904
31-Oct-14,93.90,94.01,92.83,93.73,6800889
30-Oct-14,92.57,93.39,92.49,93.38,3965528
29-Oct-14,92.65,93.12,92.00,92.73,5300445
28-Oct-14,92.48,92.60,91.68,92.60,5083262
27-Oct-14,91.52,92.09,91.50,92.01,4078298
24-Oct-14,90.70,91.79,90.55,91.67,5263046
23-Oct-14,91.84,92.10,90.88,91.02,5966894
22-Oct-14,90.70,91.51,90.60,90.94,6455551
21-Oct-14,89.95,91.45,89.70,91.01,11422211
20-Oct-14,90.96,91.59,90.71,91.59,5408134
17-Oct-14,90.41,91.14,89.64,91.04,7074463
16-Oct-14,89.39,90.29,89.34,89.91,7526459
15-Oct-14,90.49,90.98,89.57,90.44,10469312
14-Oct-14,90.81,91.74,90.63,91.10,5539480
13-Oct-14,92.13,92.42,90.66,90.73,6182343
10-Oct-14,92.76,93.45,92.30,92.30,5846707
9-Oct-14,93.77,94.00,92.71,92.72,5069103
8-Oct-14,93.08,93.94,92.81,93.83,5593781
7-Oct-14,93.51,93.54,92.80,92.81,6095819
6-Oct-14,94.36,94.43,93.69,93.84,4278576
3-Oct-14,95.29,95.29,94.51,94.86,3948919
2-Oct-14,94.03,94.60,94.00,94.12,4123290
1-Oct-14,94.37,95.08,94.01,94.19,5339524
30-Sep-14,96.23,96.36,94.34,94.81,10036422
29-Sep-14,94.26,97.30,93.98,96.22,16489076
